Jurisdiction,Week,All,Natural,Septicemia,Malignant,Diabetes,Alzheimer,Influenza,Chronic Illnesses,Other Diseases,Nephritis,"Symptoms, Signs, and Abnormal Clinical and Laboratory Findings",Heart Diseases,Cerebrovascular,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
New York City,6/27/2020,1073,983,15,207,30,15,20,26,NA,NA,14,353,35,75,55
North Carolina,6/27/2020,1946,1729,32,366,66,88,22,76,33,41,17,393,97,104,94
North Dakota,6/27/2020,131,122,NA,29,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
Ohio,6/27/2020,2429,2163,37,486,70,103,18,126,43,40,26,511,121,108,83
Oklahoma,6/27/2020,765,686,NA,156,39,27,NA,44,NA,NA,NA,207,30,18,16
Oregon,6/27/2020,689,618,NA,146,26,27,NA,36,NA,NA,15,118,38,15,13
Pennsylvania,6/27/2020,2561,2298,47,517,64,79,31,85,34,42,41,563,124,146,125
Rhode Island,6/27/2020,200,178,0,41,NA,NA,NA,11,0,NA,NA,36,NA,23,19
South Carolina,6/27/2020,1099,984,11,187,38,41,11,49,21,20,NA,219,66,85,77
South Dakota,6/27/2020,163,138,NA,39,NA,15,0,NA,NA,NA,0,28,NA,10,10
Tennessee,6/27/2020,1562,1393,19,294,54,57,28,83,21,18,11,359,82,63,58
Texas,6/27/2020,4566,4163,66,773,133,209,52,184,49,95,41,971,223,443,405
Utah,6/27/2020,388,341,NA,67,15,19,NA,16,NA,NA,NA,75,17,13,12
Vermont,6/27/2020,124,108,0,27,NA,12,NA,NA,NA,0,0,30,NA,0,0
Virginia,6/27/2020,1456,1319,21,296,51,50,13,56,19,29,19,287,69,79,71
Washington,6/27/2020,1084,970,14,231,28,72,11,44,11,NA,NA,216,62,41,29
West Virginia,6/27/2020,464,410,NA,102,17,13,NA,27,NA,NA,NA,92,17,NA,NA
Wisconsin,6/27/2020,1034,896,11,206,21,41,NA,46,12,19,NA,192,50,35,34
Wyoming,6/27/2020,89,76,0,26,NA,NA,0,NA,NA,0,0,14,NA,0,0
Puerto Rico,6/27/2020,543,508,NA,85,55,60,11,16,NA,16,11,110,27,NA,NA
United States,7/4/2020,59825,53803,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557,4050
Alabama,7/4/2020,1201,1112,14,221,30,59,13,60,NA,18,25,296,49,125,119
Alaska,7/4/2020,84,64,NA,16,NA,NA,0,NA,0,NA,NA,17,NA,NA,NA
Arizona,7/4/2020,1774,1611,NA,247,58,78,21,70,25,13,20,294,66,388,359
Arkansas,7/4/2020,687,622,12,134,26,26,NA,44,17,18,NA,155,19,41,36
California,7/4/2020,5901,5357,26,1112,231,317,79,234,49,85,23,1225,331,646,600
Colorado,7/4/2020,788,682,NA,140,19,36,NA,29,14,NA,NA,153,47,25,23
Connecticut,7/4/2020,553,500,NA,118,12,18,NA,21,NA,12,NA,129,21,24,18
Delaware,7/4/2020,201,175,0,39,NA,NA,NA,NA,NA,NA,NA,44,13,NA,NA
District of Columbia,7/4/2020,122,95,NA,18,NA,NA,0,NA,0,NA,0,21,NA,16,13
Florida,7/4/2020,4725,4276,49,879,163,146,62,203,50,63,58,997,273,466,410
Georgia,7/4/2020,1880,1721,31,320,64,95,11,74,34,52,23,424,86,151,129
Hawaii,7/4/2020,207,182,0,50,NA,10,NA,NA,NA,NA,NA,38,15,NA,NA
Idaho,7/4/2020,281,246,NA,47,NA,NA,NA,20,NA,NA,NA,69,17,NA,NA
Illinois,7/4/2020,2182,1974,31,427,47,82,35,91,26,44,17,462,130,147,132
Indiana,7/4/2020,1345,1208,24,272,46,55,12,80,18,17,NA,294,61,66,57
Iowa,7/4/2020,596,545,NA,127,16,21,NA,25,10,NA,NA,137,26,21,18
Kansas,7/4/2020,562,511,NA,127,27,22,NA,30,NA,14,NA,113,22,12,12
Kentucky,7/4/2020,993,862,12,161,25,20,12,70,15,23,NA,230,35,36,27
Louisiana,7/4/2020,985,875,21,151,35,43,12,51,18,18,12,209,46,86,74
Maine,7/4/2020,280,254,NA,62,11,12,NA,26,NA,NA,0,51,NA,NA,NA
Maryland,7/4/2020,1051,935,15,214,33,21,NA,33,12,16,NA,232,42,91,72
Massachusetts,7/4/2020,1048,951,17,218,31,29,13,49,13,14,10,191,44,69,52
Michigan,7/4/2020,1984,1748,21,402,78,95,14,99,18,37,13,469,108,42,32
Minnesota,7/4/2020,876,781,NA,175,21,41,NA,36,NA,NA,23,156,39,44,34
Mississippi,7/4/2020,711,640,10,100,27,49,13,41,NA,18,NA,145,35,91,81
Missouri,7/4/2020,1284,1124,18,287,41,40,NA,51,18,27,11,295,61,42,35
Montana,7/4/2020,175,150,0,27,NA,10,NA,NA,NA,NA,0,40,NA,NA,NA
Nebraska,7/4/2020,308,280,NA,66,NA,NA,NA,24,NA,NA,NA,49,18,12,11
Nevada,7/4/2020,528,478,NA,104,NA,13,10,28,NA,NA,NA,125,20,43,41
New Hampshire,7/4/2020,247,222,NA,39,NA,NA,0,12,NA,NA,NA,53,11,14,12
New Jersey,7/4/2020,1407,1285,33,293,46,31,16,57,31,32,20,338,57,103,78
New Mexico,7/4/2020,448,397,NA,93,15,13,NA,23,NA,NA,NA,87,16,28,27
New York,7/4/2020,1893,1723,14,390,53,35,38,78,38,36,24,442,69,61,48
New York City,7/4/2020,990,908,NA,227,31,18,26,20,12,10,16,307,36,53,36
North Carolina,7/4/2020,2001,1803,22,409,83,91,21,84,33,36,15,410,100,104,88
North Dakota,7/4/2020,117,106,0,22,NA,10,NA,NA,0,0,0,18,NA,NA,NA
Ohio,7/4/2020,2529,2243,29,489,81,90,26,111,40,41,35,591,109,107,92
Oklahoma,7/4/2020,781,692,12,155,26,28,NA,47,NA,NA,NA,191,33,24,19
Oregon,7/4/2020,760,693,NA,156,29,37,NA,36,14,10,NA,149,47,20,19
Pennsylvania,7/4/2020,2595,2334,44,535,73,84,34,99,36,51,48,577,110,139,109
Rhode Island,7/4/2020,177,164,NA,34,NA,NA,NA,NA,NA,NA,NA,37,NA,19,15
South Carolina,7/4/2020,1197,1066,13,203,27,60,NA,63,11,18,NA,258,53,129,114
South Dakota,7/4/2020,160,139,NA,28,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA
Tennessee,7/4/2020,1533,1350,19,283,44,62,17,75,22,32,21,316,72,75,71
Texas,7/4/2020,5036,4613,67,785,156,202,35,207,47,99,46,998,231,816,777
Utah,7/4/2020,438,372,NA,59,16,18,NA,13,10,NA,NA,91,20,22,18
Vermont,7/4/2020,91,78,0,24,0,NA,0,NA,NA,0,0,28,NA,0,0
Virginia,7/4/2020,1394,1264,21,276,51,53,19,51,27,23,11,305,77,56,53
Washington,7/4/2020,1126,1007,14,235,28,73,NA,46,14,NA,11,223,60,44,39
West Virginia,7/4/2020,425,379,NA,88,22,22,NA,29,NA,12,NA,79,18,NA,NA
Wisconsin,7/4/2020,1066,919,14,194,40,43,10,40,14,14,NA,251,43,24,20
Wyoming,7/4/2020,102,87,0,20,NA,NA,NA,NA,0,NA,NA,22,NA,0,0
Puerto Rico,7/4/2020,556,516,12,97,45,58,NA,19,NA,19,15,105,21,NA,NA
United States,7/11/2020,61962,55858,764,11333,1954,2472,739,2615,751,915,668,13042,2921,5786,5236
Alabama,7/11/2020,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122
Alaska,7/11/2020,101,83,NA,20,NA,NA,0,NA,0,NA,NA,19,NA,NA,NA
Arizona,7/11/2020,1954,1776,12,250,68,76,34,81,39,13,27,313,62,508,479
Arkansas,7/11/2020,661,589,13,115,39,19,NA,45,NA,10,NA,143,34,47,42
California,7/11/2020,6042,5498,24,1150,231,320,107,219,49,68,39,1199,314,739,695
Colorado,7/11/2020,815,692,NA,137,23,47,NA,42,12,NA,NA,151,42,28,21
Connecticut,7/11/2020,611,545,NA,139,13,17,NA,25,NA,NA,NA,136,18,25,17
Delaware,7/11/2020,194,171,NA,36,NA,NA,NA,10,NA,NA,0,48,15,NA,NA
District of Columbia,7/11/2020,138,111,NA,27,NA,NA,NA,NA,NA,0,NA,28,NA,NA,NA
Florida,7/11/2020,5084,4649,58,861,168,128,54,238,53,64,66,1048,297,785,703
Georgia,7/11/2020,1983,1805,39,329,56,88,19,90,49,37,20,443,73,226,203
Hawaii,7/11/2020,239,219,NA,55,NA,10,NA,NA,NA,NA,NA,56,26,NA,0
Idaho,7/11/2020,287,249,NA,41,14,12,NA,NA,NA,NA,NA,63,17,15,15
Illinois,7/11/2020,2189,1950,36,430,62,83,37,87,23,43,37,483,109,111,100
Indiana,7/11/2020,1352,1198,20,245,45,46,11,66,16,26,NA,287,57,82,73
Iowa,7/11/2020,567,514,NA,119,19,23,NA,24,NA,NA,NA,129,26,26,20
Kansas,7/11/2020,504,452,NA,104,15,20,NA,27,NA,11,NA,90,22,16,13
Kentucky,7/11/2020,1047,925,20,187,26,41,14,58,12,14,18,249,37,36,33
Louisiana,7/11/2020,1061,956,25,174,32,53,17,43,22,18,19,208,55,120,110
Maine,7/11/2020,289,257,NA,75,11,10,NA,NA,NA,0,NA,57,20,NA,NA
Maryland,7/11/2020,1031,916,24,195,28,27,13,33,NA,16,NA,226,53,74,60
Massachusetts,7/11/2020,1047,946,13,234,22,20,NA,40,13,16,13,226,30,59,42
Michigan,7/11/2020,1890,1716,25,406,54,76,19,79,15,37,NA,471,94,42,33
Minnesota,7/11/2020,865,763,NA,174,31,38,NA,39,12,11,NA,151,39,32,27
Mississippi,7/11/2020,797,739,NA,123,35,46,13,48,NA,12,NA,170,37,123,112
Missouri,7/11/2020,1295,1153,13,222,37,54,17,59,19,25,15,329,52,43,38
Montana,7/11/2020,190,170,NA,41,NA,NA,0,NA,NA,NA,0,44,NA,NA,NA
Nebraska,7/11/2020,317,296,NA,73,15,16,NA,16,NA,NA,NA,54,12,10,10
Nevada,7/11/2020,633,562,NA,109,14,16,10,35,NA,NA,NA,144,36,67,64
New Hampshire,7/11/2020,249,220,NA,52,NA,NA,NA,11,NA,NA,NA,55,13,NA,NA
New Jersey,7/11/2020,1389,1238,28,260,31,39,11,42,28,18,18,326,65,86,60
New Mexico,7/11/2020,408,364,NA,75,17,15,NA,23,NA,NA,NA,85,18,29,24
New York,7/11/2020,1893,1743,17,407,55,42,31,89,29,32,29,473,77,64,47
New York City,7/11/2020,1027,921,15,206,39,18,27,24,NA,NA,15,322,38,43,32
North Carolina,7/11/2020,1979,1762,28,331,56,91,31,80,31,36,18,355,112,130,121
North Dakota,7/11/2020,135,123,NA,23,NA,NA,NA,NA,NA,NA,0,24,NA,NA,NA
Ohio,7/11/2020,2515,2229,34,479,86,109,30,111,35,44,32,583,122,129,111
Oklahoma,7/11/2020,768,690,11,149,17,34,NA,54,NA,NA,NA,199,23,37,30
Oregon,7/11/2020,713,636,NA,149,30,39,NA,40,10,NA,13,110,37,14,14
Pennsylvania,7/11/2020,2677,2415,54,540,70,88,22,104,40,49,55,568,131,126,104
Rhode Island,7/11/2020,190,169,NA,40,NA,NA,NA,NA,NA,NA,NA,40,NA,12,NA
South Carolina,7/11/2020,1218,1095,23,212,29,61,11,44,15,17,NA,212,60,146,135
South Dakota,7/11/2020,172,158,0,39,NA,11,NA,10,0,0,NA,23,NA,14,14
Tennessee,7/11/2020,1634,1443,24,292,46,66,25,83,20,16,13,343,80,107,101
Texas,7/11/2020,5772,5330,74,833,185,254,66,173,43,105,43,1102,236,1276,1208
Utah,7/11/2020,407,359,NA,58,13,23,NA,17,NA,NA,NA,71,15,36,33
Vermont,7/11/2020,129,108,0,30,NA,NA,0,NA,NA,0,0,36,NA,NA,0
Virginia,7/11/2020,1488,1345,18,294,54,55,19,63,20,26,16,315,67,66,61
Washington,7/11/2020,1162,1046,NA,244,43,72,10,44,13,NA,10,217,55,58,53
West Virginia,7/11/2020,436,368,NA,93,16,19,NA,11,NA,NA,NA,101,16,NA,NA
Wisconsin,7/11/2020,1049,932,13,221,25,39,NA,60,16,18,11,193,61,20,15
Wyoming,7/11/2020,104,87,NA,18,NA,NA,NA,NA,0,NA,NA,19,NA,NA,NA
Puerto Rico,7/11/2020,601,570,11,104,61,57,12,23,NA,16,14,111,39,12,11
United States,7/18/2020,63177,57140,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198,6530
Alabama,7/18/2020,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172
Alaska,7/18/2020,89,72,0,20,NA,NA,0,NA,0,NA,NA,12,NA,NA,NA
Arizona,7/18/2020,1995,1740,NA,237,47,78,29,69,27,17,22,318,58,548,509
Arkansas,7/18/2020,695,635,NA,120,24,29,12,41,NA,14,NA,177,29,57,53
California,7/18/2020,6230,5685,21,1074,230,356,94,218,42,90,24,1239,333,893,832
Colorado,7/18/2020,808,683,NA,167,28,39,NA,42,11,12,NA,130,45,43,31
Connecticut,7/18/2020,569,496,10,115,15,13,NA,22,16,NA,NA,124,33,15,12
Delaware,7/18/2020,191,176,NA,53,NA,NA,NA,NA,NA,0,0,43,16,NA,NA
District of Columbia,7/18/2020,121,105,NA,23,NA,0,NA,NA,0,NA,0,26,NA,13,10
Florida,7/18/2020,5509,5058,58,807,181,167,65,221,55,65,78,987,324,1185,1064
Georgia,7/18/2020,2177,1978,30,380,60,101,25,81,37,35,33,418,89,300,267
Hawaii,7/18/2020,227,211,NA,62,NA,15,NA,NA,NA,NA,NA,39,12,NA,NA
Idaho,7/18/2020,312,276,NA,59,NA,12,NA,15,NA,NA,NA,57,15,26,22
Illinois,7/18/2020,2087,1904,23,466,57,74,28,73,19,43,33,462,119,89,80
Indiana,7/18/2020,1383,1255,32,271,42,50,10,73,22,27,11,286,60,64,59
Iowa,7/18/2020,601,552,NA,130,20,25,NA,22,14,NA,NA,126,32,42,39
Kansas,7/18/2020,518,458,NA,83,18,10,NA,27,11,NA,10,112,23,24,19
Kentucky,7/18/2020,936,842,17,177,20,34,NA,48,16,20,22,194,55,38,32
Louisiana,7/18/2020,1152,1029,16,172,37,36,11,43,17,23,13,276,48,160,145
Maine,7/18/2020,294,268,NA,63,NA,NA,NA,13,NA,NA,0,60,13,NA,NA
Maryland,7/18/2020,1026,915,11,206,36,17,12,26,10,11,NA,223,58,62,53
Massachusetts,7/18/2020,1060,961,17,222,31,26,11,42,14,30,14,212,31,35,26
Michigan,7/18/2020,1879,1694,22,415,50,83,15,115,19,34,25,459,88,36,26
Minnesota,7/18/2020,869,767,NA,189,14,43,NA,37,11,NA,18,156,43,38,32
Mississippi,7/18/2020,784,712,NA,124,33,31,15,30,NA,20,NA,157,43,130,120
Missouri,7/18/2020,1367,1217,17,257,26,53,14,77,26,40,NA,320,64,49,45
Montana,7/18/2020,203,176,NA,42,NA,NA,NA,15,0,NA,0,47,NA,NA,NA
Nebraska,7/18/2020,325,302,NA,65,10,14,NA,13,NA,NA,NA,61,15,NA,NA
Nevada,7/18/2020,640,553,NA,112,13,12,NA,32,NA,NA,NA,164,22,87,84
New Hampshire,7/18/2020,231,206,NA,53,NA,NA,NA,10,NA,NA,NA,55,NA,NA,NA
New Jersey,7/18/2020,1324,1225,34,294,32,47,23,38,17,31,18,306,64,61,40
New Mexico,7/18/2020,402,332,NA,62,NA,16,NA,20,NA,NA,NA,64,15,32,31
New York,7/18/2020,1849,1700,27,382,55,39,38,73,27,28,23,463,61,59,47
New York City,7/18/2020,969,887,NA,217,38,15,17,32,NA,NA,16,282,30,53,35
North Carolina,7/18/2020,2027,1779,21,378,71,79,17,88,21,52,23,386,112,154,144
North Dakota,7/18/2020,134,125,0,23,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA
Ohio,7/18/2020,2537,2282,34,474,73,115,36,122,30,39,35,548,131,127,110
Oklahoma,7/18/2020,794,707,NA,159,24,31,NA,43,NA,NA,NA,196,29,48,45
Oregon,7/18/2020,759,676,NA,167,29,39,NA,36,NA,11,NA,147,34,28,25
Pennsylvania,7/18/2020,2560,2294,34,484,81,83,24,105,39,45,55,573,120,110,92
Rhode Island,7/18/2020,190,157,NA,28,NA,NA,0,NA,NA,NA,0,43,NA,NA,NA
South Carolina,7/18/2020,1335,1210,21,199,49,57,14,57,16,21,12,221,61,230,205
South Dakota,7/18/2020,158,149,NA,38,NA,10,NA,NA,0,0,NA,30,NA,NA,NA
Tennessee,7/18/2020,1650,1475,17,307,47,68,23,75,17,15,11,349,73,123,115
Texas,7/18/2020,6264,5830,76,819,167,294,67,211,51,97,38,1100,233,1759,1663
Utah,7/18/2020,435,383,NA,71,12,21,NA,17,NA,NA,NA,85,23,30,25
Vermont,7/18/2020,87,76,0,24,NA,NA,NA,NA,0,0,0,18,NA,0,0
Virginia,7/18/2020,1390,1270,19,289,41,48,22,67,17,32,12,276,69,97,82
Washington,7/18/2020,1180,1062,14,251,41,65,NA,51,16,NA,10,209,70,51,47
West Virginia,7/18/2020,426,382,NA,88,10,10,12,26,NA,10,NA,89,13,NA,NA
Wisconsin,7/18/2020,1039,924,13,235,22,28,NA,55,NA,10,NA,214,55,35,28
Wyoming,7/18/2020,101,88,0,17,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
Puerto Rico,7/18/2020,599,564,15,109,63,50,12,15,NA,16,11,112,16,14,11
United States,7/25/2020,64249,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521
Alabama,7/25/2020,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241
Alaska,7/25/2020,93,76,0,20,NA,NA,NA,NA,0,NA,NA,19,NA,NA,NA
Arizona,7/25/2020,1863,1669,NA,263,52,85,16,61,21,11,29,292,58,477,450
Arkansas,7/25/2020,714,659,NA,125,19,30,10,33,12,NA,NA,171,38,74,67
California,7/25/2020,6250,5710,29,1116,206,342,94,232,42,81,29,1219,308,1012,922
Colorado,7/25/2020,833,707,NA,161,15,47,10,36,NA,NA,NA,150,54,33,27
Connecticut,7/25/2020,586,525,NA,111,16,27,NA,22,NA,NA,NA,138,30,15,12
Delaware,7/25/2020,201,179,NA,42,NA,NA,0,NA,NA,NA,NA,51,NA,10,NA
District of Columbia,7/25/2020,123,100,NA,24,NA,0,0,NA,NA,NA,0,28,NA,NA,NA
Florida,7/25/2020,5704,5269,46,888,170,164,63,217,47,52,64,1030,318,1416,1267
Georgia,7/25/2020,2177,1994,32,342,44,95,33,79,45,34,25,413,103,377,347
Hawaii,7/25/2020,219,204,NA,46,NA,NA,NA,NA,NA,NA,NA,52,14,NA,NA
Idaho,7/25/2020,328,298,NA,61,NA,12,NA,13,NA,NA,0,62,17,45,44
Illinois,7/25/2020,2034,1826,22,425,65,64,27,79,15,38,24,465,112,82,75
Indiana,7/25/2020,1318,1190,21,263,55,40,16,83,14,28,11,242,60,77,66
Iowa,7/25/2020,651,600,NA,111,17,26,11,26,NA,15,15,150,22,47,41
Kansas,7/25/2020,540,494,NA,105,28,17,NA,35,NA,NA,NA,111,18,35,32
Kentucky,7/25/2020,968,869,17,214,18,24,12,44,10,16,15,192,46,49,43
Louisiana,7/25/2020,1213,1112,19,177,36,42,14,36,22,30,16,256,47,228,210
Maine,7/25/2020,282,261,NA,67,NA,14,NA,15,NA,NA,0,52,NA,NA,NA
Maryland,7/25/2020,1002,892,11,217,22,16,NA,36,12,10,NA,225,44,67,62
Massachusetts,7/25/2020,1089,985,12,252,36,23,10,31,22,21,12,201,38,37,27
Michigan,7/25/2020,1891,1703,30,384,52,86,23,91,21,39,15,464,104,37,25
Minnesota,7/25/2020,878,787,NA,191,31,43,10,49,11,14,19,133,43,34,26
Mississippi,7/25/2020,885,818,NA,129,42,35,14,55,10,12,NA,184,37,165,151
Missouri,7/25/2020,1355,1210,10,266,33,53,16,62,28,40,11,309,48,89,76
Montana,7/25/2020,224,196,NA,43,11,NA,NA,NA,NA,NA,NA,46,NA,12,11
Nebraska,7/25/2020,361,335,NA,77,NA,23,NA,17,NA,NA,NA,77,17,14,11
Nevada,7/25/2020,657,594,NA,111,15,14,12,21,NA,NA,NA,177,23,94,86
New Hampshire,7/25/2020,266,242,NA,53,NA,15,NA,11,NA,NA,NA,61,NA,NA,NA
New Jersey,7/25/2020,1370,1263,33,294,38,43,23,31,25,26,16,327,54,66,50
New Mexico,7/25/2020,435,382,NA,53,16,17,NA,15,NA,NA,NA,73,19,50,49
New York,7/25/2020,1814,1679,18,419,58,49,29,80,28,39,22,427,69,46,35
New York City,7/25/2020,1020,922,10,220,38,12,19,29,NA,NA,22,302,36,46,31
North Carolina,7/25/2020,2147,1943,33,386,89,80,20,85,24,39,26,382,132,187,178
North Dakota,7/25/2020,132,118,NA,27,NA,NA,NA,NA,NA,NA,0,31,NA,10,NA
Ohio,7/25/2020,2504,2235,33,457,72,109,31,113,45,49,22,529,115,190,174
Oklahoma,7/25/2020,904,817,NA,180,34,30,10,45,NA,11,NA,239,34,68,57
Oregon,7/25/2020,740,653,NA,157,26,35,10,38,16,10,12,121,44,26,24
Pennsylvania,7/25/2020,2535,2264,49,494,74,92,19,101,28,64,52,558,120,95,86
Rhode Island,7/25/2020,173,154,NA,46,NA,NA,NA,10,NA,NA,0,31,0,NA,NA
South Carolina,7/25/2020,1352,1257,13,213,38,59,15,48,12,17,NA,227,44,321,303
South Dakota,7/25/2020,173,155,NA,31,10,10,NA,NA,NA,NA,NA,30,NA,15,13
Tennessee,7/25/2020,1710,1509,17,299,46,70,40,62,21,23,20,345,77,158,140
Texas,7/25/2020,6310,5897,67,771,182,263,59,207,51,88,45,1069,207,1895,1790
Utah,7/25/2020,437,386,NA,77,12,24,NA,13,NA,NA,NA,88,17,45,37
Vermont,7/25/2020,115,99,0,36,NA,NA,0,NA,NA,0,NA,26,NA,0,0
Virginia,7/25/2020,1463,1321,22,308,48,40,11,53,21,28,NA,309,73,90,84
Washington,7/25/2020,1180,1058,12,245,37,76,NA,49,NA,NA,14,199,61,77,70
West Virginia,7/25/2020,501,439,NA,104,23,20,15,34,NA,NA,NA,93,17,NA,NA
Wisconsin,7/25/2020,1101,994,13,225,28,40,NA,38,10,18,NA,256,58,53,42
Wyoming,7/25/2020,95,80,NA,15,NA,NA,NA,NA,0,NA,NA,16,NA,NA,NA
Puerto Rico,7/25/2020,610,583,11,94,74,40,17,14,13,21,15,110,22,27,23
United States,8/1/2020,64235,58275,689,11514,1989,2502,760,2737,779,961,624,12834,2989,8308,7613
Alabama,8/1/2020,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238
Alaska,8/1/2020,114,83,0,17,NA,NA,0,NA,NA,NA,0,18,NA,NA,NA
Arizona,8/1/2020,1792,1569,13,246,58,63,29,75,20,13,24,281,65,390,362
Arkansas,8/1/2020,750,696,14,124,25,42,12,46,16,11,NA,180,31,88,77
California,8/1/2020,6339,5795,31,1149,229,354,93,240,56,86,21,1197,328,1010,951
Colorado,8/1/2020,813,701,NA,159,21,33,NA,41,NA,NA,NA,154,38,36,29
Connecticut,8/1/2020,555,479,NA,129,15,19,NA,13,NA,11,NA,124,23,10,NA
Delaware,8/1/2020,195,173,NA,44,NA,NA,NA,NA,NA,NA,NA,45,18,NA,NA
District of Columbia,8/1/2020,130,117,0,24,NA,NA,NA,NA,0,NA,NA,36,11,10,NA
Florida,8/1/2020,5791,5356,40,890,151,183,62,228,38,58,65,1026,315,1514,1362
Georgia,8/1/2020,2193,2018,30,341,54,95,27,102,38,33,33,407,94,420,387
Hawaii,8/1/2020,217,199,NA,59,NA,NA,NA,NA,NA,NA,NA,50,15,NA,0
Idaho,8/1/2020,327,301,NA,52,15,17,NA,19,NA,NA,NA,70,NA,50,46
Illinois,8/1/2020,2071,1889,28,441,65,89,31,60,25,35,22,459,125,90,82
Indiana,8/1/2020,1367,1216,23,277,57,46,17,82,21,35,13,248,57,79,68
Iowa,8/1/2020,650,589,NA,116,18,26,NA,29,14,NA,NA,147,19,51,49
Kansas,8/1/2020,543,496,NA,103,29,16,NA,25,NA,14,NA,101,13,40,39
Kentucky,8/1/2020,1031,928,17,185,33,29,11,59,10,15,18,221,52,47,45
Louisiana,8/1/2020,1205,1108,18,193,47,46,12,42,25,28,NA,208,59,239,220
Maine,8/1/2020,283,249,NA,59,16,NA,NA,NA,NA,NA,NA,58,13,NA,NA
Maryland,8/1/2020,1067,948,13,242,41,16,15,31,11,13,NA,231,56,79,61
Massachusetts,8/1/2020,1022,922,14,236,26,32,NA,31,14,22,14,174,51,32,23
Michigan,8/1/2020,1969,1781,31,403,53,78,17,104,21,42,17,480,94,57,48
Minnesota,8/1/2020,818,734,NA,171,36,40,NA,40,NA,10,21,136,33,36,29
Mississippi,8/1/2020,872,809,NA,138,34,46,15,39,NA,16,NA,161,26,231,211
Missouri,8/1/2020,1366,1230,15,249,44,46,14,80,25,30,10,320,74,79,65
Montana,8/1/2020,216,189,0,42,NA,NA,NA,14,NA,NA,NA,38,NA,16,15
Nebraska,8/1/2020,358,322,NA,61,11,10,NA,26,NA,NA,NA,60,21,13,11
Nevada,8/1/2020,620,557,NA,101,21,18,13,35,0,NA,NA,144,25,108,101
New Hampshire,8/1/2020,248,230,NA,60,NA,NA,NA,11,NA,NA,NA,60,11,NA,NA
New Jersey,8/1/2020,1392,1271,32,296,34,42,14,33,39,29,20,341,63,63,48
New Mexico,8/1/2020,407,354,NA,70,18,17,NA,14,NA,NA,NA,71,20,44,41
New York,8/1/2020,1886,1731,18,438,43,41,32,102,31,28,22,447,66,41,31
New York City,8/1/2020,985,885,13,209,21,11,30,27,12,10,15,303,36,35,22
North Carolina,8/1/2020,2085,1861,26,360,73,92,19,88,29,27,13,378,108,214,195
North Dakota,8/1/2020,139,118,NA,22,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
Ohio,8/1/2020,2621,2357,33,478,83,95,21,117,49,33,34,590,142,189,174
Oklahoma,8/1/2020,881,811,NA,154,30,31,NA,49,NA,12,NA,263,32,75,67
Oregon,8/1/2020,719,638,NA,117,18,39,NA,35,NA,NA,10,139,43,32,29
Pennsylvania,8/1/2020,2645,2365,46,553,88,67,31,101,28,55,60,586,109,103,91
Rhode Island,8/1/2020,200,181,NA,42,NA,NA,NA,NA,NA,NA,NA,47,12,NA,NA
South Carolina,8/1/2020,1329,1206,22,177,38,58,NA,60,23,22,NA,213,57,288,271
South Dakota,8/1/2020,151,135,0,42,NA,NA,NA,NA,NA,NA,0,34,NA,NA,NA
Tennessee,8/1/2020,1713,1537,15,272,49,74,25,100,20,26,14,357,77,172,156
Texas,8/1/2020,5953,5553,63,790,178,276,68,198,63,93,43,975,225,1731,1658
Utah,8/1/2020,435,381,NA,73,13,16,NA,25,NA,NA,NA,84,23,26,25
Vermont,8/1/2020,103,89,0,26,NA,NA,0,NA,0,NA,0,21,NA,NA,0
Virginia,8/1/2020,1455,1317,20,296,42,53,19,64,16,24,11,258,87,106,100
Washington,8/1/2020,1229,1090,15,269,42,73,11,50,12,NA,11,214,45,92,82
West Virginia,8/1/2020,474,425,NA,85,16,16,NA,28,NA,12,NA,102,13,17,16
Wisconsin,8/1/2020,1057,945,NA,221,31,40,14,48,17,16,NA,225,53,48,41
Wyoming,8/1/2020,90,72,0,15,NA,NA,NA,NA,0,NA,0,19,NA,NA,0
Puerto Rico,8/1/2020,654,616,18,115,66,46,13,18,10,13,12,123,27,39,35
United States,8/8/2020,63719,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182
Alabama,8/8/2020,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253
Alaska,8/8/2020,101,86,NA,15,NA,NA,0,NA,0,NA,NA,20,NA,NA,NA
Arizona,8/8/2020,1586,1388,NA,240,44,51,17,65,14,20,23,268,62,305,279
Arkansas,8/8/2020,736,682,13,122,15,40,15,46,NA,11,NA,169,32,91,81
California,8/8/2020,6309,5719,34,1168,184,336,76,213,39,78,31,1247,344,998,932
